Date,Close,Volume,RangeRatio,VolMedian20,RangeMedian20,VolRatio,RangeRatioToMed,PctMove,HighProximity,LowProximity,Trend,D1,D2,D3,IsDull,Fwd1d,Fwd3d,Fwd5d,Fwd10d
2021-10-15,31.76,1915015,0.00566752,2.02419E+06,0.00658289,0.946067,0.860946,0.00697525,1.00698,1.04542,Advance,0,0,0,0,0.0037783,0.0125944,0.0147985,0.00881614
2021-10-18,31.88,1823323,0.00752822,2.01486E+06,0.00658289,0.904937,1.1436,0.0037783,1.00378,1.04937,Advance,0,0,0,0,0.00439151,0.0103513,0.0138018,0.0134882
2021-10-19,32.02,1154164,0.00312306,2.01341E+06,0.00699101,0.573237,0.446725,0.00439151,1.00439,1.05398,Advance,1,1,0,0,0.00437225,0.00655837,0.00343537,0.00624612
2021-10-20,32.16,1532677,0.00497512,1.98012E+06,0.00658289,0.774034,0.755765,0.00437225,1.00437,1.05859,Advance,0,0,0,0,0.0015547,0.00497512,-0.0102612,0.00590792
2021-10-21,32.21,1607188,0.00481213,1.94389E+06,0.00610418,0.826788,0.788334,0.0015547,1.00155,1.06024,Advance,0,0,1,0,0.000620939,-0.00248364,0,0.00993479
2021-10-22,32.23,1018528,0.00589509,1.92793E+06,0.00610418,0.528302,0.965745,0.000620939,1.00062,1.0609,Advance,1,0,1,0,0.00279243,-0.0124108,-0.00589509,0.0130314
2021-10-25,32.32,1960163,0.00479575,1.92793E+06,0.00614007,1.01672,0.781058,0.00279243,1.00279,1.06386,Advance,0,0,0,0,-0.00587867,-0.00340348,-0.000309354,0.0129951
2021-10-26,32.13,2012658,0.0068471,1.94389E+06,0.00614007,1.03537,1.11515,-0.00587867,0.994121,1.0576,Advance,0,0,0,0,-0.0093371,-0.00280113,0.00280113,0.0220977
2021-10-27,31.83,2581071,0.00973922,1.95356E+06,0.00658289,1.32122,1.47947,-0.0093371,0.984839,1.04773,Advance,0,0,0,0,0.0119384,0.0150802,0.0163367,0.0257619
2021-10-28,32.21,2655157,0.0111766,1.95356E+06,0.00658289,1.35914,1.69783,0.0119384,0.996597,1.06024,Advance,0,0,0,0,-0.00527781,0.000310529,0.00993479,0.0180069
2021-10-29,32.04,3485447,0.00561799,1.95356E+06,0.00681391,1.78416,0.824487,-0.00527781,0.991337,1.05464,Advance,0,0,0,0,0.00842698,0.00967533,0.0190387,0.0355805
2021-11-01,32.31,1685204,0.00742797,1.95356E+06,0.00633791,0.862634,1.17199,0.00842698,0.999691,1.06283,Advance,0,0,0,0,-0.00278552,0.00680896,0.0133086,0.0229031
2021-11-02,32.22,1601338,0.00512095,1.95356E+06,0.00633791,0.819704,0.807988,-0.00278552,0.996906,1.05987,Advance,0,0,0,0,0.00403468,0.0133458,0.0192427,0.0266915
2021-11-03,32.35,978847,0.00525508,1.93098E+06,0.0057813,0.506917,0.90898,0.00403468,1.00093,1.05754,Advance,1,0,0,0,0.00556415,0.0120557,0.00927367,0.0200928
2021-11-04,32.53,2018376,0.00491853,1.93098E+06,0.00564275,1.04526,0.871655,0.00556415,1.00556,1.06134,Advance,0,0,0,0,0.00368899,0.00952971,0.00799269,0.0162927
2021-11-05,32.65,2027336,0.00428788,1.93098E+06,0.00543654,1.0499,0.788716,0.00368899,1.00369,1.05425,Advance,0,0,0,0,0.00275651,0,0.0162327,0.00857577
2021-11-08,32.74,1249554,0.00274894,1.93759E+06,0.00518802,0.644901,0.529862,0.00275651,1.00276,1.05613,Advance,1,1,0,0,0.00305432,0.00152716,0.00946846,-0.000305502
2021-11-09,32.84,1611628,0.00578559,1.86917E+06,0.00518802,0.862216,1.11518,0.00305432,1.00305,1.05935,Advance,0,0,0,0,-0.00578559,0.0103532,0.00730821,-0.00609016
2021-11-10,32.65,1521405,0.0075038,1.75426E+06,0.00543654,0.867261,1.38025,-0.00578559,0.994214,1.04547,Advance,0,0,0,0,0.00428788,0.0122511,0.0107197,0.00459411
2021-11-11,32.79,828164,0.0033547,1.75426E+06,0.00543654,0.472086,0.617066,0.00428788,0.998477,1.03963,Advance,1,0,0,0,0.0118939,0.00884419,0.00823423,0.00426958
2021-11-12,33.18,2350573,0.0105485,1.64842E+06,0.00543654,1.42596,1.94029,0.0118939,1.01035,1.04471,Advance,0,0,0,0,-0.00391806,-0.00542496,-0.00753466,-0.0310428
2021-11-15,33.05,2211589,0.00620278,1.64842E+06,0.00543654,1.34164,1.14094,-0.00391806,0.996082,1.03833,Advance,0,0,0,0,0.000907794,0.000302637,-0.00968229,-0.025416
2021-11-16,33.08,2011909,0.00483675,1.64842E+06,0.00543654,1.22051,0.889676,0.000907794,0.996986,1.03927,Advance,0,0,1,0,-0.00241843,-0.00453451,-0.0133012,-0.0468561
2021-11-17,33,1890879,0.00575765,1.82268E+06,0.00543654,1.03741,1.05907,-0.00241843,0.994575,1.03676,Advance,0,0,1,0,0.00181822,-0.00818183,-0.00606063,-0.0542425
2021-11-18,33.06,1527739,0.00514211,1.92552E+06,0.00568782,0.793416,0.904057,0.00181822,0.996383,1.03864,Advance,0,0,1,0,-0.00393228,-0.0127042,-0.00393228,-0.0405324
2021-11-19,32.93,3313757,0.00470692,1.92552E+06,0.00568782,1.72097,0.827543,-0.00393228,0.992465,1.03456,Advance,0,0,0,0,-0.00607351,-0.0039478,-0.0236866,-0.0425144
2021-11-22,32.73,3158898,0.0088604,1.98604E+06,0.00543654,1.59055,1.62979,-0.00607351,0.986438,1.02828,Advance,0,0,0,0,-0.00274978,0.00611063,-0.0158876,-0.0262755
2021-11-23,32.64,2343237,0.00735299,2.01228E+06,0.00568782,1.16447,1.29276,-0.00274978,0.983725,1.02545,Advance,0,0,0,0,0.00490196,-0.0150122,-0.0340073,-0.0101102
2021-11-24,32.8,2267601,0.0109756,2.01514E+06,0.00568782,1.12528,1.92967,0.00490196,0.988547,1.03047,Advance,0,0,0,0,0.00396345,-0.0179878,-0.0484756,-0.0182926
2021-11-25,32.93,12594417,0.00425142,2.01514E+06,0.00568782,6.24989,0.747461,0.00396345,0.992465,1.02778,Advance,0,0,0,0,-0.0236866,-0.0425144,-0.0367446,-0.0282417
2021-11-26,32.15,5678110,0.00933124,2.01514E+06,0.00543654,2.81772,1.71639,-0.0236866,0.968957,1.00343,Decline,0,0,0,0,0.00186618,-0.029238,-0.0192846,-0.00466568
2021-11-29,32.21,3865340,0.0142814,2.01514E+06,0.00550637,1.91815,2.59361,0.00186618,0.970765,1.00187,Decline,0,0,1,0,-0.0211114,-0.0152127,-0.0105557,-0.0149022
2021-11-30,31.53,6851258,0.0214082,2.02286E+06,0.00550637,3.38692,3.88789,-0.0211114,0.950271,0.980715,Decline,0,0,0,0,-0.0101491,0,0.0247384,0.00507453
2021-12-01,31.21,6720183,0.0262736,2.11946E+06,0.00577162,3.1707,4.55221,-0.0101491,0.940627,0.989851,Decline,0,0,0,0,0.0163409,0.0211471,0.0317207,0.0211471
2021-12-02,31.72,4817835,0.0181273,2.2396E+06,0.00599418,2.15121,3.02415,0.0163409,0.955998,1.01634,Decline,0,0,0,0,-0.00598987,0.0186003,0.00882726,0.00346786
2021-12-03,31.53,6863717,0.0145893,2.30542E+06,0.00677789,2.97721,2.15249,-0.00598987,0.950271,1.01025,Decline,0,0,0,0,0.0107834,0.0212496,0.0149064,0.00761179
2021-12-06,31.87,5626910,0.0131785,2.3469E+06,0.00742839,2.39759,1.77408,0.0107834,0.960518,1.02115,Flat,0,0,0,0,0.0138061,0.00407904,-0.00439289,-0.0119235
2021-12-07,32.31,3317115,0.00835656,2.75474E+06,0.0081821,1.20415,1.02132,0.0138061,0.973779,1.03525,Flat,0,0,0,0,-0.00340454,-0.00959459,-0.0191891,-0.00773754
2021-12-08,32.2,2399072,0.0040373,3.23633E+06,0.00860848,0.741295,0.468991,-0.00340454,0.970464,1.03172,Flat,0,1,0,0,-0.0062112,-0.0145963,-0.0102484,0.00248441
2021-12-09,32,2252826,0.00593746,3.23633E+06,0.00860848,0.696106,0.689722,-0.0062112,0.964436,1.02531,Flat,1,0,0,0,0,-0.00968748,-0.0053125,0.01625
2021-12-10,32,2544605,0.00843745,3.23633E+06,0.00860848,0.786263,0.980133,0,0.964436,1.02531,Flat,0,0,1,0,-0.00843751,-0.00406247,-0.00718749,0.016875
2021-12-13,31.73,5710996,0.0110305,3.23633E+06,0.00839701,1.76465,1.31363,-0.00843751,0.95919,1.01666,Decline,0,0,0,0,-0.00126061,0.0031516,-0.00756381,0.0315159
